city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count,population,gdp_per_capita_eur,population_density,road_length_total_km,motorway_length_km,road_density_km_per_km2,street_lamp_count,building_count,building_area_km2,landuse_residential_km2,landuse_commercial_km2,landuse_industrial_km2,landuse_retail_km2,park_area_km2,forest_area_km2,water_area_km2,nature_reserve_area_km2,green_area_total_km2,built_up_fraction,green_fraction,log_mean_brightness,log_population,log_gdp_per_capita,log_building_count,brightness_yoy,brightness_cagr,brightness_per_capita
Lisbon,Portugal,PT,2020,38.7223,-9.1393,17.72695738975861,6.461997022911963,173.6192169189453,10245,1896018.0,29600.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,2.929964057438495,14.455266455422926,10.295529640312152,12.845787403292652,-0.06479361861299748,-0.013799599889631087,9.349572308785364e-06
Lisbon,Portugal,PT,2021,38.7223,-9.1393,17.71533871103709,6.484048939840533,169.9878387451172,10245,1883529.0,31600.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,2.929343439564892,14.448657702863237,10.360912399575003,12.845787403292652,-0.0006554243046937858,-0.013799599889631087,9.405397374310187e-06
Lisbon,Portugal,PT,2022,38.7223,-9.1393,17.210289561750454,6.464192101390539,167.72598266601562,10245,1880613.0,36300.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,2.9019867948624314,14.447108345488662,10.499573020252942,12.845787403292652,-0.028509144393156882,-0.013799599889631087,9.151425392545119e-06
Lisbon,Portugal,PT,2023,38.7223,-9.1393,18.053653502349512,6.488626882411326,173.6158905029297,10245,1890880.0,40100.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,2.9472588680845737,14.452552887139447,10.599131613294661,12.845787403292652,0.049003471880764815,-0.013799599889631087,9.547752106082624e-06
Lisbon,Portugal,PT,2024,38.7223,-9.1393,17.562437099158846,6.478179876734955,182.1765899658203,10245,1935831.0,42300.0,1620.0,19435.93,1111.59,9.9146,4401,379187.0,35.2206,292.8183,6.9777,57.4615,7.4578,33.1088,439.5126,172.3201,514.8669,987.4883,0.0546,0.5037,2.921140027959674,14.47604724961994,10.65254236503437,12.845787403292652,-0.027208697847598495,-0.013799599889631087,9.072298717790367e-06
Lyon,France,FR,2013,45.764,4.8357,10.68616238538673,3.46560469212194,226.1318817138672,11475,938024.0,42100.0,596.6,20360.65,797.85,10.3863,44069,606092.0,44.9986,416.1948,6.9188,87.7068,6.4916,17.8022,466.2178,80.8835,20.221,504.241,0.0745,0.2572,2.458405439755941,13.75153081401498,10.647803019670473,13.314788718623385,,-0.04508256116776799,1.1392205727557855e-05
Lyon,France,FR,2014,45.764,4.8357,10.633993851644718,3.475756998129637,195.6879425048828,11475,942910.0,42500.0,596.6,20360.65,797.85,10.3863,44069,606092.0,44.9986,416.1948,6.9188,87.7068,6.4916,17.8022,466.2178,80.8835,20.221,504.241,0.0745,0.2572,2.4539313170068002,13.756726116976065,10.657259354912508,13.314788718623385,-0.004881877315784822,-0.04508256116776799,1.1277846084615412e-05
Lyon,France,FR,2015,45.764,4.8357,10.134423595614036,3.481342726756244,245.60043334960932,11475,943913.0,43400.0,596.6,20360.65,797.85,10.3863,44069,606092.0,44.9986,416.1948,6.9188,87.7068,6.4916,17.8022,466.2178,80.8835,20.221,504.241,0.0745,0.2572,2.4100415342696997,13.757789279863601,10.678214720088496,13.314788718623385,-0.046978610576628776,-0.04508256116776799,1.0736607712378192e-05
Lyon,France,FR,2016,45.764,4.8357,10.253023541639582,3.4710398529990725,188.4351501464844,11475,946093.0,44100.0,596.6,20360.65,797.85,10.3863,44069,606092.0,44.9986,416.1948,6.9188,87.7068,6.4916,17.8022,466.2178,80.8835,20.221,504.241,0.0745,0.2572,2.4206368517979815,13.76009615187011,10.694215061434937,13.314788718623385,0.01170268293076604,-0.04508256116776799,1.0837225876990509e-05
Lyon,France,FR,2017,45.764,4.8357,10.220517905570013,3.483725173277362,183.32806396484372,11475,948173.0,45300.0,596.6,20360.65,797.85,10.3863,44069,606092.0,44.9986,416.1948,6.9188,87.7068,6.4916,17.8022,466.2178,80.8835,20.221,504.241,0.0745,0.2572,2.417744058170962,13.762292254039462,10.721062311471126,13.314788718623385,-0.0031703463800270004,-0.04508256116776799,1.0779169946381106e-05
