city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count
Helsinki,Finland,FI,2016,60.1699,24.9384,11.082858998937574,1.45837285077716,197.5645294189453,16060
Lisbon,Portugal,PT,2016,38.7223,-9.1393,20.141678683305475,6.468805416864116,181.39031982421875,10245
Porto,Portugal,PT,2016,41.1579,-8.6291,12.384517818076931,4.476479060872198,158.05941772460938,10621
Athens,Greece,GR,2016,37.9838,23.7275,17.689860391702727,4.468533453643272,236.36013793945312,10152
Dublin,Ireland,IE,2016,53.3498,-6.2603,7.316289570895124,1.4220048259789462,184.9695281982422,13398
Bucharest,Romania,RO,2016,44.4268,26.1025,7.430862837581234,1.4295558844777108,182.4958343505859,11205
Sofia,Bulgaria,BG,2016,42.6977,23.3219,4.469348048866054,0.7432385141514144,124.81180572509766,10885
Zagreb,Croatia,HR,2016,45.815,15.9819,8.113210564677887,2.4597721937531816,150.12271118164062,11476
Tallinn,Estonia,EE,2016,59.437,24.7536,4.805112061851102,0.1168330113528419,176.5938720703125,15717
Riga,Latvia,LV,2016,56.9496,24.1052,4.382975200465688,0.6614786515117227,608.7337646484375,14647
Madrid,Spain,ES,2017,40.4168,-3.7038,25.825508113539367,11.477000293206652,197.58119201660156,10514
Barcelona,Spain,ES,2017,41.3851,2.1734,18.391467591292987,2.874386356244454,258.5457763671875,10661
Paris,France,FR,2017,48.8566,2.3522,31.641598741090583,28.98052602747087,257.8949279785156,12147
Lyon,France,FR,2017,45.764,4.8357,10.220517905570013,3.483725173277362,183.32806396484375,11475
Berlin,Germany,DE,2017,52.52,13.405,8.18228001737127,3.4738664909034447,163.3225860595703,13148
Hamburg,Germany,DE,2017,53.5511,9.9937,6.01177119971223,2.4374776421345947,145.80368041992188,13453
Munich,Germany,DE,2017,48.1351,11.582,4.456764472227063,1.426710156346535,234.56202697753903,11985
Rome,Italy,IT,2017,41.9028,12.4964,16.384672015217948,8.48183663450828,199.7171173095703,10755
Milan,Italy,IT,2017,45.4642,9.19,20.02683296658465,15.486093804933,156.43600463867188,11411
Naples,Italy,IT,2017,40.8518,14.2681,14.989070002954476,6.5075602024448775,197.31320190429688,10571
Amsterdam,Netherlands,NL,2017,52.3676,4.9041,11.610667776025004,2.6702950214247556,1844.814208984375,13101
Rotterdam,Netherlands,NL,2017,51.9244,4.4777,64.81331262829497,15.217341732254884,13822.5546875,12962
Brussels,Belgium,BE,2017,50.8503,4.3517,11.54604407739807,6.464395490826554,178.78463745117188,12665
Vienna,Austria,AT,2017,48.2082,16.3738,6.4155790334797045,1.4087525946040211,188.0211181640625,12011
Prague,Czech Republic,CZ,2017,50.0755,14.4378,7.429054648658058,2.4674715820799045,136.6052703857422,12460
Warsaw,Poland,PL,2017,52.2297,21.0122,12.131675166623609,5.485013291140104,201.77587890625,13043
Budapest,Hungary,HU,2017,47.4979,19.0402,8.520761232468494,3.47551959533664,146.1722412109375,11847
Copenhagen,Denmark,DK,2017,55.6761,12.5683,4.098484246763159,0.3143585941094627,257.9037170410156,14179
Stockholm,Sweden,SE,2017,59.3293,18.0686,12.157892825658498,5.69880975035445,792.3508911132812,15670
Oslo,Norway,NO,2017,59.9139,10.7522,10.096725134109317,2.5242353956927386,211.39352416992188,15931
Helsinki,Finland,FI,2017,60.1699,24.9384,11.196962696438286,1.5678682959049937,173.3420867919922,16060
Lisbon,Portugal,PT,2017,38.7223,-9.1393,19.804016613324304,6.4847579668528255,172.74258422851562,10245
Porto,Portugal,PT,2017,41.1579,-8.6291,12.021728168054636,4.465221655057468,128.69053649902344,10621
Athens,Greece,GR,2017,37.9838,23.7275,18.462524033542312,4.903614527514426,302.1065673828125,10152
Dublin,Ireland,IE,2017,53.3498,-6.2603,7.171967932906468,1.4558918062464614,159.0626220703125,13398
Bucharest,Romania,RO,2017,44.4268,26.1025,8.011533151749266,2.4406581856332688,183.90737915039065,11205
Sofia,Bulgaria,BG,2017,42.6977,23.3219,4.933962806743875,1.4114576806810302,131.36801147460938,10885
Zagreb,Croatia,HR,2017,45.815,15.9819,8.291958395033394,2.449597382531659,150.93331909179688,11476
Tallinn,Estonia,EE,2017,59.437,24.7536,4.195771471106509,0.1001709599584621,164.72584533691406,15717
Riga,Latvia,LV,2017,56.9496,24.1052,4.291919283840913,1.1850308273506065,1176.4923095703125,14647
Madrid,Spain,ES,2018,40.4168,-3.7038,25.51205049146389,11.480845244761827,185.6009979248047,10514
Barcelona,Spain,ES,2018,41.3851,2.1734,18.34687319064644,3.497080379471051,252.3773193359375,10661
Paris,France,FR,2018,48.8566,2.3522,33.76747324998326,28.987204691450525,303.4508972167969,12147
Lyon,France,FR,2018,45.764,4.8357,10.09207677350261,3.4740736081642165,191.2272186279297,11475
Berlin,Germany,DE,2018,52.52,13.405,8.688033332036062,4.495250288696094,145.98484802246094,13148
Hamburg,Germany,DE,2018,53.5511,9.9937,6.8146999573999985,2.4528477456393074,176.9530487060547,13453
Munich,Germany,DE,2018,48.1351,11.582,4.69206681378294,1.4288303620196352,213.3854827880859,11985
Rome,Italy,IT,2018,41.9028,12.4964,15.266857517593351,8.493020546605221,191.8853454589844,10755
Milan,Italy,IT,2018,45.4642,9.19,19.81652219339884,15.52125493085013,141.34315490722656,11411
Naples,Italy,IT,2018,40.8518,14.2681,14.812181239763502,6.499817195947037,163.44036865234375,10571
Amsterdam,Netherlands,NL,2018,52.3676,4.9041,11.73940933445914,2.5924298802042167,1999.146240234375,13101
Rotterdam,Netherlands,NL,2018,51.9244,4.4777,61.88213390341441,14.711242763235475,13164.9921875,12962
Brussels,Belgium,BE,2018,50.8503,4.3517,11.96682404943732,6.45224245527272,206.63978576660156,12665
Vienna,Austria,AT,2018,48.2082,16.3738,6.503967487838547,1.415471106299806,188.3210296630859,12011
Prague,Czech Republic,CZ,2018,50.0755,14.4378,7.675029399838401,2.453360208815535,129.7804718017578,12460
Warsaw,Poland,PL,2018,52.2297,21.0122,13.484259959027442,6.489839971870158,194.2339782714844,13043
Budapest,Hungary,HU,2018,47.4979,19.0402,8.83323280813571,3.458354609771725,240.2088165283203,11847
Copenhagen,Denmark,DK,2018,55.6761,12.5683,4.607313210446125,0.0317465853110768,238.3589782714844,14179
Stockholm,Sweden,SE,2018,59.3293,18.0686,15.26090881598954,5.664160622235858,691.9150390625,15670
Oslo,Norway,NO,2018,59.9139,10.7522,12.244372614212883,3.033468751870952,499.9074401855469,15931
